nandkk05,b'RT @Jagrati87016003: Dive into new emerging Technolgy.. Future of nation Machine Learning..\n#exploreML \n#DeveloperStudentClubs https://t.co\xe2\x80\xa6'
debalina_de,b'RT @Jagrati87016003: Dive into new emerging Technolgy.. Future of nation Machine Learning..\n#exploreML \n#DeveloperStudentClubs https://t.co\xe2\x80\xa6'
Jagrati87016003,b'Dive into new emerging Technolgy.. Future of nation Machine Learning..\n#exploreML \n#DeveloperStudentClubs https://t.co/cyNuh7XC0B'
frankline_kihiu,b'RT @DscMeru: Explore ML Day 2\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nBuilding the future ML engineers.\xf0\x9f\x92\xaa \n\nJoin us and end your Moi Day in style. Happy Moi day fam\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\n#explore\xe2\x80\xa6'
GopinathanAswin,"b'Onlyy.9 hours to go for #ExploreML at Sir M Visvesvaraya Institute of Technology , Bangalore. https://t.co/GejnJAltCz'"
auwalms,b'RT @DscMeru: Explore ML Day 2\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nBuilding the future ML engineers.\xf0\x9f\x92\xaa \n\nJoin us and end your Moi Day in style. Happy Moi day fam\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\n#explore\xe2\x80\xa6'
PsePrince,b'RT @dsccgc: Happy faces after successful organisation of #exploreML event.\n#developerstudentclubs\n#dsccgc \n@GoogleDevsIN @Google https://t.\xe2\x80\xa6'
ravii_rana,"b'RT @dsccgc: Machine Learning, an event from the long list of DSC CGC was organised today in Chandigarh Group of Colleges, Landran for these\xe2\x80\xa6'"
PsePrince,b'RT @ravii_rana: Done and dusted with the workshop! Was an honour to facilitate for such young minds ! Looking forward to host another works\xe2\x80\xa6'
GautamS22262354,b'RT @debalina_de: Another amazing workshop under the umbrella of @dsccgc \nMachine learning workshop powered by Google AI\n#exploreML #develop\xe2\x80\xa6'
nandkk05,b'RT @ravii_rana: Done and dusted with the workshop! Was an honour to facilitate for such young minds ! Looking forward to host another works\xe2\x80\xa6'
nandkk05,b'RT @PsePrince: It was really a great session for the ML lovers!\n@ravii_rana keep going bro! \xf0\x9f\x92\xaf\n@parshnt_ all rounder! \xf0\x9f\x92\xaf\n\n#ExploreML #DSC #DS\xe2\x80\xa6'
mark_silla,b'RT @DscMeru: Explore ML Day 2\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nBuilding the future ML engineers.\xf0\x9f\x92\xaa \n\nJoin us and end your Moi Day in style. Happy Moi day fam\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\n#explore\xe2\x80\xa6'
PsePrince,"b'RT @dsccgc: Machine Learning, an event from the long list of DSC CGC was organised today in Chandigarh Group of Colleges, Landran for these\xe2\x80\xa6'"
PsePrince,b'It was really a great session for the ML lovers!\n@ravii_rana keep going bro! \xf0\x9f\x92\xaf\n@parshnt_ all rounder! \xf0\x9f\x92\xaf\n\n#ExploreML\xe2\x80\xa6 https://t.co/WvrqT3bdkO'
SteveChacha5,b'RT @DscMeru: Explore ML Day 2\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nBuilding the future ML engineers.\xf0\x9f\x92\xaa \n\nJoin us and end your Moi Day in style. Happy Moi day fam\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\n\n#explore\xe2\x80\xa6'
jadakhushmat_ho,"b'RT @dsccgc: Machine Learning, an event from the long list of DSC CGC was organised today in Chandigarh Group of Colleges, Landran for these\xe2\x80\xa6'"
PsePrince,b'RT @debalina_de: Another amazing workshop under the umbrella of @dsccgc \nMachine learning workshop powered by Google AI\n#exploreML #develop\xe2\x80\xa6'
PsePrince,"b""RT @nandkk05: Today's event on #exploreML by @dsccgc \xf0\x9f\xa5\xb3\xf0\x9f\x94\xa5\n\nGreat session by @ravii_rana \xf0\x9f\x94\xa5\xf0\x9f\x99\x8c https://t.co/d9DiGas9gD"""
DscMeru,b'Explore ML Day 2\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nBuilding the future ML engineers.\xf0\x9f\x92\xaa \n\nJoin us and end your Moi Day in style. Happy Moi day fam\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\xe2\x80\xa6 https://t.co/0uzGrBqUjB'
dsccgc,"b'Machine Learning, an event from the long list of DSC CGC was organised today in Chandigarh Group of Colleges, Landr\xe2\x80\xa6 https://t.co/EwDuqFo0wQ'"
guptamohit_004,"b""Today's workshop on Explore ML.\n#exploreML #developerstudentclubs #dsccgc\n#cgc https://t.co/4NSwtAzv7l"""
ravii_rana,b'Done and dusted with the workshop! Was an honour to facilitate for such young minds ! Looking forward to host anoth\xe2\x80\xa6 https://t.co/Gf0LaNmz83'
Chetansharma270,b'Successful event on #exploreML by @dsccgc \n#developerstudentclubs #dsccgc \n@GoogleDevsIN @GoogleDevExpert https://t.co/nZCmir14fy'
nandkk05,b'RT @namanguptaa_: Explore ML Workshop- DSC-CGC\n#exploreML #developerstudentclubs #machine_learning \n#dsccgc https://t.co/Ll3aliR9Kb'
nandkk05,b'RT @debalina_de: Another amazing workshop under the umbrella of @dsccgc \nMachine learning workshop powered by Google AI\n#exploreML #develop\xe2\x80\xa6'
debalina_de,b'Another amazing workshop under the umbrella of @dsccgc \nMachine learning workshop powered by Google AI\n#exploreML\xe2\x80\xa6 https://t.co/iNg4M9xy6y'
Sir_enjoy1,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
parshnt_,"b""RT @nandkk05: Today's event on #exploreML by @dsccgc \xf0\x9f\xa5\xb3\xf0\x9f\x94\xa5\n\nGreat session by @ravii_rana \xf0\x9f\x94\xa5\xf0\x9f\x99\x8c https://t.co/d9DiGas9gD"""
ravii_rana,"b""RT @nandkk05: Today's event on #exploreML by @dsccgc \xf0\x9f\xa5\xb3\xf0\x9f\x94\xa5\n\nGreat session by @ravii_rana \xf0\x9f\x94\xa5\xf0\x9f\x99\x8c https://t.co/d9DiGas9gD"""
nandkk05,"b""Today's event on #exploreML by @dsccgc \xf0\x9f\xa5\xb3\xf0\x9f\x94\xa5\n\nGreat session by @ravii_rana \xf0\x9f\x94\xa5\xf0\x9f\x99\x8c https://t.co/d9DiGas9gD"""
namanguptaa_,b'Explore ML Workshop- DSC-CGC\n#exploreML #developerstudentclubs #machine_learning \n#dsccgc https://t.co/Ll3aliR9Kb'
dsccgc,b'Happy faces after successful organisation of #exploreML event.\n#developerstudentclubs\n#dsccgc \n@GoogleDevsIN @Google https://t.co/W43kusMKHk'
ravii_rana,b'RT @dsccgc: Machine Learning Workshop has began with ML Facilitator Ravi Rana for these amazing young minds!!\n\n@Ravii_rana is on \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\n#Explo\xe2\x80\xa6'
Kunaldh12274205,b'ML workshop \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n#ExploreML\n#DSCCGC\n#DSC\n\n@dsccgc https://t.co/r9fNnGtbpH'
RbbSukhRkhe,b'Had a fun in an amazing workshop by Developer Student Clubs.Learnt the basic difference between AI Machine Learning\xe2\x80\xa6 https://t.co/CqHdOevabE'
Pulkit0108Verma,b'Awesome workshop by @ravii_rana on ML.\n@dsccgc \n#ExploreML\n#DSCCGC\n#DSC https://t.co/voCLXYw4MJ'
Kunaldh12274205,b'Attending the awsome ML workshop in cgc coe\n#ExploreML\n#DSCCGC\n#DSC'
nandkk05,b'Machine learning workshop \xf0\x9f\xa4\x96\xe2\x9a\x99\xef\xb8\x8f\xe2\x9a\xa1\n#exploreML #DeveloperStudentClubs #dsccgc @dsccgc @ravii_rana https://t.co/Q8WlJBlFGo'
dsccgc,b'RT @dsccgc: Machine Learning Workshop has began with ML Facilitator Ravi Rana for these amazing young minds!!\n\n@Ravii_rana is on \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\n#Explo\xe2\x80\xa6'
dsccgc,b'Machine Learning Workshop has began with ML Facilitator Ravi Rana for these amazing young minds!!\n\n@Ravii_rana is o\xe2\x80\xa6 https://t.co/nD2I7mLDVL'
KhanShavezahmad,b'RT @inamanmishra04: Explore ML workshop and Google Crowdsource seminar done right!\n#ExploreML @csbygoogle #googlecrowdsource https://t.co/1\xe2\x80\xa6'
ravii_rana,b'#DDay T-2 Hours @dsccgc @GoogleDevsIN #ExploreML https://t.co/BVMAazyAVt'
EstherWhambuoy,b'RT @DscMeru: Just started the Explore ML workshop @MeruUniversity \n#exploreml #DeveloperStudentClubs #DSCSSA #DSCMeru https://t.co/4vlTnGjL\xe2\x80\xa6'
Suryamaithreya1,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
gdgmumbai,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
nandkk05,b'Be ready \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #exploreml #developerstudentclubs #dsc @dsccgc\n@GoogleDevsIN https://t.co/Md08uSdcss'
KediaRasika,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
Naushy90,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
karthik_padman,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
